"ID";"Area";"Question";"Description";"Status";"Engine behaviour today";"What we need from the business";"Decision so far / answer";"Needs business input";"Priority";"Related"
"Q1";"Scope / Inputs";"Which two files does the report compare?";"The US says 'the 2 selected files'. The manual Risk workbook (Compare_RA_BCEF_KO_Prod 26Q2.xlsx) compares two INPUTS_RA workbooks: the file the team is about to use (Updated) against the one used at the previous reference (Previous). The same wording is also readable as two ENGINE OUTPUTS (two TS_EAD_FWD term structures), which would be a different report - and that side is already covered by the existing EadFwdCompare job. Only INPUTS_RA carries FWL_TYPE, the four metrics and the 361 monthly columns the report needs, which is why the default is INPUTS_RA.";"Answered";"Reference model compares two INPUTS_RA workbooks (Inputs_RA_v2 against Inputs_RA).";"Confirm the two selected files are INPUTS_RA workbooks, not two TS_EAD_FWD outputs.";"DECISION (business 2026-08-27): two INPUTS_RA workbooks, named in a new configuration block. Block spelled COMPARE_AND_REPORT to match every other block in application.conf (the answer wrote compare_and_report; HOCON is case-sensitive and the file is UPPER_SNAKE throughout).";"No";"High";"design 10.Q1"
"Q2";"Layout";"Is the first month column called M0 or M1?";"The INPUTS_RA sheets label the first monthly column M1. The manual Risk report labels the same column M0. The US text says 'all months (M1 to M361)'. Same month, three namings - it only affects the label shown on the month index row and on the chart x-axis, never a value.";"Answered";"Reference model keeps the input's own M1..M361 labels.";"Confirm the label the business wants to read: M1..M361 (as in the input and the US) or M0..M360 (as in the manual file).";"DECISION (business 2026-08-27): M1..M361, as in the INPUTS_RA file. The manual file's M0 is not reproduced.";"No";"Low";"design 10.Q2"
"Q3";"Alignment";"How are the two files aligned when their as-of dates differ?";"In the manual workbook Updated starts 01/04/2026 and Previous starts 01/01/2026 - a quarter apart - and the Evol formula still reads =(C5-C42)/C42, column C against column C. So the two files are aligned by MONTH INDEX and the dates are labels, not join keys: M1-of-new is compared with M1-of-old even though they are different calendar months. The alternative, aligning by calendar month and comparing only the overlapping dates, is a materially different report and would drop the first quarter of one file.";"Answered";"Reference model aligns by month INDEX; dates are display labels only.";"Confirm alignment by month index (like-for-like projection month) rather than by calendar date.";"DECISION (business 2026-08-27): alignment by month INDEX. Dates are dropped from the report entirely, so the question of differing as-of dates no longer arises: months are identified as M1..M361 everywhere.";"No";"High";"Q4; design 10.Q3"
"Q4";"Inputs";"Where do the column dates come from?";"An INPUTS_RA sheet carries no as-of date anywhere - only M1..M361. The dates printed on each table header in the manual file must therefore be supplied from outside the file. In the reference model they were passed on the command line (--new-start 2026-01, --old-start 2025-10).";"Answered";"Reference model takes one start month per side from configuration (newStart / oldStart).";"Confirm the first projection month of each side is a configuration parameter, or tell us where the as-of date of an INPUTS_RA file should be read from.";"DECISION (business 2026-08-27): no dates anywhere in the report - the table header rows carry M1..M361 instead of calendar months. newStart / oldStart are therefore NOT needed in the configuration.";"No";"Medium";"Q3; design 10.Q4"
"Q5";"Computation";"What should a cell show when the previous value is zero?";"The %change formula (new - old) / old is undefined when old = 0. The manual workbook leaves the Excel error #DIV/0! visible in those cells. The engine can reproduce that or blank the cell and list the case. This is not hypothetical: it happens today on CONSO, whose RA FI and RE rows are zero on both sides.";"Answered";"Reference model wraps every formula in IFERROR so the cell is blank; a --raw-div switch reproduces the bare #DIV/0!.";"Confirm: blank cell plus a 'not computable' list in the report (proposed), or keep #DIV/0! visible as the manual file does.";"DECISION (business 2026-08-27): the proposed defaults are accepted: old 0 and new 0 -> blank; old 0 and new non-zero -> blank plus listed; old present and new missing -> blank plus listed. The manual file's visible #DIV/0! is not reproduced.";"No";"Medium";"design 10.Q5"
"Q6";"Derived rows";"Where does the %RA row (row 10) come from, and is the x12 annualisation right?";"%RA is NOT a column of INPUTS_RA and is NOT mentioned anywhere in the US wording. It is a DERIVED row, reverse-engineered from the manual Risk workbook where it sits as the 6th row of every segment table. In the reference model it is a live Excel formula on row 10: =IFERROR(C6*12/-C5) - where C6 is the RA row (row 6, itself =C7+C8+C9, that is RA STAT + RA FI + RE) and C5 is CRD, which is negative in the input. The full chain is therefore %RA = (RA STAT + RA FI + RE) x 12 / -CRD, an annualised loss rate over the outstanding. The x12 was INFERRED, not specified: it reads the RA metrics as MONTHLY flows and CRD as the outstanding of that same month, so multiplying by 12 turns a monthly rate into an annual one. Cross-check against the manual file (Immos, first month): RA STAT 373 + RA FI 10 + RE 6 = 389, and 389 x 12 / 93 172 = 5.01 percent against the 5.02 percent the file displays - close enough to confirm the shape of the formula, but NOT an exact reproduction (see Q13).";"Resolved";"Reference model row 10 = IFERROR(RA x 12 / -CRD), with RA on row 6 = RA STAT + RA FI + RE. Stated on the COMPARE INFO sheet as '%RA = RA x 12 / -CRD (annualised rate over the outstanding)'.";"(1) Confirm %RA = (RA STAT + RA FI + RE) x 12 / -CRD. (2) Confirm the annualisation factor is 12 for every table, and would not change if the report were ever produced on a quarterly or yearly grid. (3) Confirm the -CRD sign convention (CRD is negative in the input) so %RA reads as a positive percentage.";"DECISION (business 2026-08-27): %RA is DROPPED. The report carries only the four metrics present in the INPUTS_RA file (CRD, RA STAT, RA FI, RE); no derived row is computed, so the x12 annualisation and its denominator no longer arise. Confirmed for the RA subtotal too - see Q11.";"No";"High";"Q11, Q12, Q13; design 10.Q6"
"Q7";"Acceptance";"Can we have the manual workbook and the two inputs it was built from?";"The US acceptance criterion is 'test the generated reports against the manual calculations'. To do that as a numeric diff rather than a reading exercise we need the manual file Compare_RA_BCEF_KO_Prod 26Q2.xlsx AND the two INPUTS_RA workbooks it was produced from. Without them the reconciliation can only run on the pair available in the repo, which are the same vintage at two different roundings - so their Evol block is rounding noise (about 1e-5) and proves nothing about the business logic.";"Answered";"Reference model was built from Inputs_RA_v2 against Inputs_RA, whose differences are rounding only.";"Provide Compare_RA_BCEF_KO_Prod 26Q2.xlsx and the two INPUTS_RA files used to build it, so the generated report can be reconciled cell by cell.";"DECISION (business 2026-08-27): not needed for now; reconciliation against the manual workbook will be done later. Acceptance test T6 is therefore deferred, and T1-T5/T7 stand.";"No";"High";"design 10.Q7"
"Q8";"Output";"Excel, HTML, or both from TWIST?";"The US says the report should be 'a new excel/HTML report output available from TWIST in a new tab on EAD FWL TS tool' without deciding which. The two are different deliverables: the workbook carries live formulas a reviewer can click and audit, the HTML page is a read-only in-browser preview.";"Answered";"Reference model produces the Excel workbook. The HTML page is designed but not built.";"Confirm what the new TWIST tab must serve: the Excel workbook, an HTML page, or both.";"DECISION (business 2026-08-27): Excel is the deliverable. HTML is not built for now and will be revisited if TWIST needs it.";"No";"Medium";"design 10.Q8"
"Q9";"Output";"One workbook for every perimeter, or one file per perimeter?";"The manual file covers one perimeter (BCEF) because it is written by hand. The engine can produce every perimeter in one run. With 6 perimeters and 3 stress legs that is 18 sheets and roughly 288 charts in a single workbook - large but workable - against 6 smaller files.";"Answered";"Reference model writes one workbook: three sheets per perimeter (BASELINE, -100, +100) plus COMPARE INFO.";"Confirm one workbook containing every perimeter, or one file per perimeter if that is what TWIST serves.";"DECISION (business 2026-08-27): one workbook for every perimeter.";"No";"Medium";"Q15; design 10.Q9"
"Q10";"Output";"Should a material %change be highlighted?";"Nothing in the US asks for it. A conditional format above a configurable threshold (for example an absolute %change above 5 percent) would turn the Evol block from a wall of numbers into something a reviewer can scan for the months that actually moved.";"Answered";"Reference model applies no highlighting.";"Confirm whether the Evol block should highlight changes above a threshold, and if so what the threshold is.";"DECISION (business 2026-08-27): no highlighting.";"No";"Low";"design 10.Q10"
