Date;scenario;IR_10Y_FR;IR_10Y_BE;IR_10Y_IT
1993Q1;Optimistic;0.098321;0.101354;0
1993Q2;Optimistic;0.096248;0.09846;0
1993Q3;Optimistic;0.100473;0.099087;0
1993Q4;Optimistic;0.101763;0.100621;0
1994Q1;Optimistic;0.093334;0.09475;0
1994Q2;Optimistic;0.089483;0.091523;0.132305
1994Q3;Optimistic;0.090488;0.093332;0.132991
1994Q4;Optimistic;0.087983;0.09062;0.128988
1995Q1;Optimistic;0.084747;0.08689;0.12644
1995Q2;Optimistic;0.086605;0.087887;0.128112
1995Q3;Optimistic;0.088974;0.088531;0.138241
1995Q4;Optimistic;0.082529;0.080935;0.138561
1996Q1;Optimistic;0.076618;0.075334;0.131662
1996Q2;Optimistic;0.070824;0.073631;0.125008
1996Q3;Optimistic;0.063853;0.071232;0.10217
1996Q4;Optimistic;0.059205;0.06886;0.090959
1997Q1;Optimistic;0.05999;0.067892;0.08996
1997Q2;Optimistic;0.070298;0.076048;0.096538
1997Q3;Optimistic;0.076879;0.082456;0.114185
1997Q4;Optimistic;0.081034;0.083633;0.121206
1998Q1;Optimistic;0.080661;0.083024;0.127856
1998Q2;Optimistic;0.075868;0.075927;0.127127
1998Q3;Optimistic;0.073514;0.071914;0.117925
1998Q4;Optimistic;0.071042;0.068593;0.115945
1999Q1;Optimistic;0.065523;0.066242;0.105666
1999Q2;Optimistic;0.06508;0.067091;0.09894
1999Q3;Optimistic;0.063541;0.066187;0.093825
1999Q4;Optimistic;0.058544;0.060006;0.0789
2000Q1;Optimistic;0.055664;0.058175;0.074352
2000Q2;Optimistic;0.05716;0.059194;0.073904
2000Q3;Optimistic;0.054722;0.056916;0.065156
2000Q4;Optimistic;0.054938;0.056207;0.060219
2001Q1;Optimistic;0.050286;0.051371;0.053625
2001Q2;Optimistic;0.049476;0.050268;0.05156
2001Q3;Optimistic;0.045191;0.046352;0.047726
2001Q4;Optimistic;0.041013;0.042319;0.043165
2002Q1;Optimistic;0.039526;0.040768;0.040963
2002Q2;Optimistic;0.042085;0.043542;0.043599
2002Q3;Optimistic;0.049666;0.051622;0.051358
2002Q4;Optimistic;0.053019;0.054316;0.054176
2003Q1;Optimistic;0.055876;0.057243;0.05718
2003Q2;Optimistic;0.054053;0.0558;0.056026
2003Q3;Optimistic;0.054322;0.055921;0.055979
2003Q4;Optimistic;0.052456;0.054653;0.054854
2004Q1;Optimistic;0.049077;0.051193;0.051677
2004Q2;Optimistic;0.051189;0.053105;0.053604
2004Q3;Optimistic;0.050194;0.052117;0.052813
2004Q4;Optimistic;0.047213;0.0488;0.049367
2005Q1;Optimistic;0.050659;0.051833;0.052461
2005Q2;Optimistic;0.052051;0.052966;0.053632
2005Q3;Optimistic;0.047025;0.048124;0.048537
2005Q4;Optimistic;0.045187;0.045784;0.046789
2006Q1;Optimistic;0.041044;0.041337;0.042499
2006Q2;Optimistic;0.039277;0.038893;0.04019
2006Q3;Optimistic;0.041149;0.041743;0.042473
2006Q4;Optimistic;0.042992;0.043641;0.04446
